,Asx Code,Company Name,Finacial Year,Revenue Increase %,industry,pricediff
296,GMD,GENESIS MINERALS LIMITED,6/30/2016,79.0,Materials,-3.5041322314049594
297,GES,GENESIS RESOURCES LIMITED,6/30/2016,304.0,Materials,-35.37988581466841
298,GSS,GENETIC SIGNATURES LIMITED,6/30/2016,62.0,"Pharmaceuticals, Biotechnology & Life Sciences",-28.337725381414703
299,GTK,GENTRACK GROUP LIMITED,9/30/2017,43.0,Software & Services,42.45791245791245
300,GMA,GENWORTH MORTGAGE INSURANCE AUSTRALIA LIMITED,12/31/2015,33.0,Banks,-18.874363597793806
301,GPR,GEOPACIFIC RESOURCES LTD,12/31/2017,106.0,Materials,-6.378504672897194
302,GSW,GETSWIFT LIMITED,6/30/2017,212.0,Software & Services,-32.72778245023831
303,GSC,GLOBAL GEOSCIENCE LIMITED,6/30/2017,4065.0,Materials,115.22851153039828
304,GMG,GOODMAN GROUP,6/30/2016,33.0,Real Estate,16.878049446796883
305,GOW,GOWING BROS LIMITED,7/31/2016,65.0,Diversified Financials,0.622828226033174
306,GRR,GRANGE RESOURCES LIMITED.,12/31/2016,34.0,Materials,56.61749022396017
307,GPX,GRAPHEX MINING LIMITED,6/30/2017,585.0,Materials,-18.50544412607449
308,GSN,GREAT SOUTHERN MINING LIMITED,6/30/2016,318.0,Materials,1.8580192813321637
309,GGG,GREENLAND MINERALS LIMITED,12/31/2017,53.0,Materials,-21.758865248226943
310,GTR,GTI RESOURCES LIMITED,12/31/2015,312.0,Materials,-8.929633300297315
311,GUL,GULLEWA LIMITED,6/30/2017,695.0,Materials,57.834146341463395
312,HHM,HAMPTON HILL MINING NL,6/30/2015,1241.0,Materials,25.082304526748953
313,HSN,HANSEN TECHNOLOGIES LIMITED,6/30/2016,40.0,Software & Services,-7.901133654454337
314,HT8,HARRIS TECHNOLOGY GROUP LIMITED,6/30/2016,45.0,Retailing,-42.84495599187543
